day,hour_utc,actual_mw,in_80,in_90,pit,bias
2024-05-01,9,184.869362,1.0,1.0,0.507,2.126100683443383
2024-05-01,10,184.823221,1.0,1.0,0.396,-25.815485470864985
2024-05-01,11,117.11282299999999,1.0,1.0,0.108,-103.6252283038099
2024-05-01,12,108.69905399999999,1.0,1.0,0.105,-100.25837642475517
2024-05-01,13,109.087246,1.0,1.0,0.199,-74.67438437203822
2024-05-01,14,130.241639,1.0,1.0,0.291,-56.831473255659375
2024-05-01,15,124.16846000000001,1.0,1.0,0.242,-65.27584551576857
2024-05-01,16,62.57022599999999,0.0,0.0,0.036,-111.66556976166845
2024-05-01,17,51.52808,0.0,0.0,0.027,-116.91778947083206
2024-05-01,18,93.25266699999999,1.0,1.0,0.118,-84.78193395929382
2024-05-01,19,122.70907100000001,1.0,1.0,0.118,-94.12328341602792
2024-05-01,20,242.191764,1.0,1.0,0.275,-57.713231929092984
2024-05-01,21,379.769159,1.0,1.0,0.445,-23.09505389771101
2024-05-01,22,333.510081,1.0,1.0,0.139,-146.14316379052605
2024-05-01,23,284.02828300000004,0.0,0.0,0.041,-211.99410793611594
2024-05-08,0,128.23347199999998,0.0,0.0,0.021,-162.06584049566337
2024-05-08,1,248.22904799999998,1.0,1.0,0.306,-53.786003276954204
2024-05-08,2,220.557317,1.0,1.0,0.138,-105.72108998631421
2024-05-08,3,232.35011799999998,0.0,1.0,0.088,-142.2762712864196
2024-05-08,4,319.088274,1.0,1.0,0.129,-142.3680255130568
2024-05-08,5,750.6579810000001,1.0,1.0,0.71,103.9921610747956
2024-05-08,6,825.294373,1.0,1.0,0.465,-14.84907493244873
2024-05-08,7,950.7632569999998,1.0,1.0,0.329,-99.39546109012281
2024-05-08,8,1026.80443,1.0,1.0,0.289,-128.68533124087503
2024-05-08,9,1000.8079680000001,0.0,1.0,0.076,-285.93421459436286
2024-05-08,10,1268.937425,1.0,1.0,0.343,-87.38656690908806
2024-05-08,11,1621.42092,1.0,1.0,0.801,166.85838880316533
2024-05-08,12,1540.974906,1.0,1.0,0.427,-34.49101818624786
2024-05-08,13,1760.406366,1.0,1.0,0.468,-13.205621244073882
2024-05-08,14,2106.0774429999997,1.0,1.0,0.691,98.83961986716758
2024-05-08,15,2168.9683360000004,1.0,1.0,0.563,23.127100967081333
2024-05-08,16,2126.6012200000005,1.0,1.0,0.314,-67.7118903541973
2024-05-08,17,2351.9427390000005,0.0,0.0,0.973,214.66936985257462
2024-05-08,18,2274.305158,0.0,0.0,0.962,188.5703616145356
2024-05-08,19,2221.204227,0.0,0.0,0.953,202.3843047858004
2024-05-08,20,2187.294982,0.0,0.0,0.966,298.5115965852708
2024-05-08,21,2142.380097,0.0,1.0,0.933,306.88958421201596
2024-05-08,22,1812.229095,1.0,1.0,0.637,60.70053235140699
2024-05-08,23,1565.3295600000004,1.0,1.0,0.225,-137.3983526426714
2024-05-15,0,728.242657,1.0,1.0,0.843,208.12430251684304
2024-05-15,1,607.0757170000002,1.0,1.0,0.647,68.69929776773131
2024-05-15,2,666.0701360000002,1.0,1.0,0.698,105.05689264358489
2024-05-15,3,487.735529,1.0,1.0,0.527,9.930997956963267
2024-05-15,4,550.5770869999999,1.0,1.0,0.828,171.2688233925037
2024-05-15,5,508.93980600000003,1.0,1.0,0.857,185.38775727441788
2024-05-15,6,384.085484,1.0,1.0,0.732,88.5541781328829
2024-05-15,7,213.25787799999998,1.0,1.0,0.286,-62.19370346677678
2024-05-15,8,105.66142599999999,0.0,0.0,0.043,-139.0965054524674
2024-05-15,9,74.26952700000001,0.0,0.0,0.006,-176.57684920811428
2024-05-15,10,125.110407,0.0,1.0,0.098,-109.04267838426479
2024-05-15,11,89.37466899999998,0.0,0.0,0.049,-114.50565288802659
2024-05-15,12,74.1781,0.0,1.0,0.058,-103.4210099943405
2024-05-15,13,92.426429,1.0,1.0,0.125,-85.6849210400283
2024-05-15,14,143.221113,1.0,1.0,0.137,-91.53139816722074
2024-05-15,15,96.64993,0.0,0.0,0.002,-197.18608299240105
2024-05-15,16,142.54728400000002,0.0,0.0,0.014,-201.83679898887848
2024-05-15,17,116.1855,0.0,0.0,0.009,-226.44416528242397
2024-05-15,18,166.287063,0.0,0.0,0.023,-234.44544211139157
2024-05-15,19,161.693145,0.0,0.0,0.008,-337.2883783490214
2024-05-15,20,245.24316199999998,0.0,0.0,0.039,-244.65967643598003
2024-05-15,21,111.96308599999998,0.0,0.0,0.008,-284.0549915699977
2024-05-15,22,255.962648,1.0,1.0,0.526,8.05000048497925
2024-05-15,23,265.622728,1.0,1.0,0.657,59.92715806364217
2024-05-22,0,855.7288580000002,0.0,1.0,0.948,329.86464763092135
2024-05-22,1,585.875812,1.0,1.0,0.433,-24.81845940952985
2024-05-22,2,600.9584649999999,1.0,1.0,0.231,-112.06115145632702
2024-05-22,3,792.118766,1.0,1.0,0.181,-177.78345065346093
2024-05-22,4,1472.4917569999998,1.0,1.0,0.809,218.71207844805167
2024-05-22,5,1429.86983,1.0,1.0,0.249,-174.08492639713904
2024-05-22,6,1824.0495650000003,1.0,1.0,0.553,27.64463332955461
2024-05-22,7,2030.564735,1.0,1.0,0.747,160.96025101046325
2024-05-22,8,2043.8332999999998,1.0,1.0,0.809,230.11469671610394
2024-05-22,9,1711.4485840000002,1.0,1.0,0.568,43.966160558612955
2024-05-22,10,1654.9887509999996,1.0,1.0,0.776,185.4272930458842
2024-05-22,11,1241.1950470000002,1.0,1.0,0.509,3.0336938892767193
2024-05-22,12,799.5096639999998,1.0,1.0,0.167,-184.06856752396118
2024-05-22,13,870.3648089999999,1.0,1.0,0.68,84.25285739660421
2024-05-22,14,685.3630800000001,1.0,1.0,0.435,-24.945239474587652
2024-05-22,15,945.190792,1.0,1.0,0.852,182.34201081152366
2024-05-22,16,1092.903944,1.0,1.0,0.797,167.87078716551378
2024-05-22,17,1040.414029,1.0,1.0,0.396,-60.40312314145649
2024-05-22,18,1495.171929,0.0,1.0,0.904,293.34742004109034
2024-05-22,19,1252.5016710000002,1.0,1.0,0.462,-21.746847502718765
2024-05-22,20,1216.125159,1.0,1.0,0.425,-42.054893472621416
2024-05-22,21,1012.228969,1.0,1.0,0.281,-123.57200579671712
2024-05-22,22,933.2422190000001,1.0,1.0,0.205,-164.8942722083999
2024-05-22,23,1025.831774,1.0,1.0,0.406,-51.82574709242567
2024-05-29,0,968.6153039999999,1.0,1.0,0.352,-74.45371200316072
2024-05-29,1,643.9142509999999,0.0,0.0,0.047,-343.3766488544411
2024-05-29,2,980.7922850000003,1.0,1.0,0.756,164.32372771072903
2024-05-29,3,868.919468,1.0,1.0,0.829,187.465895053027
2024-05-29,4,681.571467,1.0,1.0,0.831,155.8436960411268
2024-05-29,5,813.5395070000002,0.0,0.0,0.982,392.3343306857969
2024-05-29,6,510.6207259999999,1.0,1.0,0.79,119.93494606775641
2024-05-29,7,400.673257,1.0,1.0,0.59,30.420897198340242
2024-05-29,8,234.39000999999996,1.0,1.0,0.17,-108.06046462724635
2024-05-29,9,250.98917799999992,1.0,1.0,0.374,-36.44838175831245
2024-05-29,10,195.61179099999998,1.0,1.0,0.299,-54.359837930998594
2024-05-29,11,186.94973599999997,1.0,1.0,0.41,-22.167971873671547
2024-05-29,12,142.44887300000002,1.0,1.0,0.438,-15.57649525315432
2024-05-29,13,109.88968800000002,1.0,1.0,0.345,-37.11112611033512
2024-05-29,14,150.38647,1.0,1.0,0.492,-2.1843990959495727
2024-05-29,15,104.90613199999999,1.0,1.0,0.244,-65.06823667073363
2024-05-29,16,93.236704,0.0,1.0,0.08,-97.04069197524271
2024-05-29,17,164.470068,1.0,1.0,0.148,-94.04172193931484
2024-05-29,18,143.044278,0.0,0.0,0.017,-170.32843759511454
