site,month,hour,mu_a,sigma_a,mu_f,sigma_f,count
wind_323673,12,18,24.291432903225804,26.323879355840674,24.21929733158226,25.730400097599723,31
wind_323673,12,19,25.673299741935484,27.05608921506133,25.60178878979432,26.011142997722327,31
wind_323673,12,20,27.614457612903227,26.71796284047071,27.527046808196218,26.769027135902306,31
wind_323673,12,21,29.683489967741938,25.646507901226407,30.679175108885083,27.67967009901069,31
wind_323673,12,22,30.56169229032258,26.805660047612147,31.04134032834677,27.20656944285842,31
wind_323673,12,23,31.254340161290322,27.446084934094987,31.613676184326486,27.022643595687356,31
wind_323690,1,0,22.149249032258066,20.709137354763246,22.000137303716564,20.074478315011064,31
wind_323690,1,1,23.18056048387097,21.605504429777444,23.15548663630431,20.52510549144092,31
wind_323690,1,2,21.750816064516123,21.165873635211977,23.46416408168791,21.163944343785793,31
wind_323690,1,3,22.675915322580646,21.576654513933654,21.82600903357686,20.91762512623683,31
wind_323690,1,4,22.140955483870965,20.50196460184479,20.975088409918975,19.90122870579545,31
wind_323690,1,5,20.391972387096768,18.106914008905335,20.569828527350424,18.93093571023831,31
wind_323690,1,6,17.97071174193548,16.122677942561157,19.208142302614718,17.746216111989163,31
wind_323690,1,7,15.760067774193548,15.211841095370536,18.058704452807728,16.686961872667244,31
wind_323690,1,8,17.04903158064516,16.41095546768733,16.625482283053607,16.587257568106992,31
wind_323690,1,9,16.67215506451613,16.63534321927998,16.986013238388754,16.844496532887682,31
wind_323690,1,10,16.401369709677418,16.965952310418487,17.58731097505036,16.78773329485777,31
wind_323690,1,11,17.36822029032258,16.831999052135835,19.508833461331708,17.539792612713633,31
wind_323690,1,12,18.530043806451612,17.03888527049386,19.430364925285648,18.43927255006485,31
wind_323690,1,13,17.894858354838707,17.576952005170146,19.23349320524073,18.544264141769297,31
wind_323690,1,14,18.081908032258063,19.891567549008286,20.00822365733176,19.730236088718183,31
wind_323690,1,15,19.624238000000002,21.528224940895033,20.56347117354043,19.903116591363663,31
wind_323690,1,16,19.487325580645155,20.56828681212386,20.47581902303764,20.25449232181249,31
wind_323690,1,17,20.751970967741936,19.629609944754048,21.796829075690844,19.995794251720152,31
wind_323690,1,18,22.441525903225806,20.14663548128553,24.233955627852833,19.97760702375376,31
wind_323690,1,19,23.085892870967744,19.344522151922448,25.26741272332319,19.514526216599027,31
wind_323690,1,20,22.309692258064516,19.35857392411962,24.279470034012423,19.158089089859025,31
wind_323690,1,21,21.59110309677419,19.38485379662679,22.000752393893173,19.45301736356271,31
wind_323690,1,22,19.99767974193548,19.734570671592657,21.861001151221732,19.81912029768986,31
wind_323690,1,23,20.28964070967742,20.079779682800485,22.5290951470151,20.587134109168147,31
wind_323690,2,0,18.082878586206895,17.801586690461754,19.471543398211118,18.94062949519114,29
wind_323690,2,1,21.130766896551723,20.869030831135994,20.064285086813882,20.041171093877303,29
wind_323690,2,2,20.468414586206897,21.54593102996146,20.214996686077857,21.171241402690374,29
wind_323690,2,3,18.885163758620692,19.070441530622233,19.187850900843156,19.9096977501553,29
wind_323690,2,4,19.796065999999996,19.77572134029992,19.49145010646442,19.292710943988023,29
wind_323690,2,5,19.05144948275862,20.05949936494111,19.206308101889334,18.493954566283207,29
wind_323690,2,6,18.783732999999998,19.957289558955853,18.777250444634788,18.13386339639468,29
wind_323690,2,7,18.892760620689653,20.123238813218478,18.42154847476017,18.495605169632608,29
wind_323690,2,8,18.36498162068965,19.880592207129336,18.884409404619824,19.059541212756063,29
wind_323690,2,9,18.169548,18.649173007853857,17.633360421242173,18.53881891663217,29
wind_323690,2,10,17.40463644827586,17.5387677405098,18.301373505138418,18.722632744537286,29
wind_323690,2,11,18.531599413793103,18.896324797062746,19.2912263180749,19.30994002369833,29
wind_323690,2,12,17.229768103448272,18.15689487220587,16.81694520152323,17.1865816809867,29
wind_323690,2,13,17.537119896551722,18.757212679816437,17.94971454719721,18.339836127827315,29
